City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,callao,-12.0667,-77.15,25.16,73,0,3.6,PE,1710173499
319,marbella,36.5154,-4.8858,19.03,56,3,2.0,ES,1710172973
320,boa vista,2.8197,-60.6733,33.99,40,0,5.14,BR,1710173518
321,shilka,51.85,116.0333,-10.88,95,90,2.59,RU,1710173518
322,pisco,-13.7,-76.2167,25.57,73,21,3.6,PE,1710173519
323,kyrenia,35.3417,33.3167,18.75,63,8,2.94,CY,1710173282
324,yemetsk,63.4721,41.7941,-0.84,95,100,3.98,RU,1710173519
325,al wafrah,28.6392,47.9306,19.85,60,0,6.24,KW,1710173252
326,khadzhalmakhi,42.42,47.1821,0.08,93,100,1.89,RU,1710173519
327,val-d'or,48.1002,-77.7828,-4.45,71,9,5.81,CA,1710173519
328,newton,42.337,-71.2092,6.35,51,75,10.29,US,1710173519
329,acarau,-2.8856,-40.12,29.77,72,49,3.82,BR,1710173519
330,istgah-e rah ahan-e garmsar,35.2346,52.3094,11.62,60,100,2.9,IR,1710173519
331,petropavlovsk-kamchatsky,53.0452,158.6483,-3.64,93,100,4.02,RU,1710173250
332,tsiombe,-25.3,45.4833,25.18,87,73,4.25,MG,1710173520
333,suoyarvi,62.0833,32.35,-1.15,92,100,2.92,RU,1710173520
334,loches,47.1333,1.0,13.19,76,77,4.38,FR,1710173520
335,thames,-37.1333,175.5333,17.2,94,100,1.88,NZ,1710173520
336,kas,36.2018,29.6377,14.05,70,62,1.46,TR,1710173520
337,palmer,42.1584,-72.3287,4.48,56,69,2.68,US,1710173520
338,pierre,44.3683,-100.351,8.51,42,0,2.06,US,1710173521
339,manokwari,-0.8667,134.0833,25.81,85,100,2.05,ID,1710173256
340,kamloops,50.6665,-120.3192,5.55,65,75,7.72,CA,1710173521
341,marquette,46.5333,-87.6335,7.36,39,100,4.02,US,1710173479
342,fuerte olimpo,-21.0415,-57.8738,38.91,33,76,3.4,PY,1710173521
343,balkanabat,39.5108,54.3671,11.31,57,36,4.49,TM,1710173521
344,port alfred,-33.5906,26.891,24.54,94,44,1.34,ZA,1710173233
345,la ronge,55.1001,-105.2842,0.14,64,100,1.03,CA,1710173521
346,feijo,-8.1642,-70.3536,33.86,50,97,0.42,BR,1710173522
347,klyuchi,52.2667,79.1667,-6.11,94,26,3.26,RU,1710173500
348,khandyga,62.6667,135.6,-33.04,100,73,1.26,RU,1710173522
349,christchurch,-43.5333,172.6333,12.73,91,100,4.63,NZ,1710173522
350,hammerfest,70.6634,23.6821,2.25,100,75,5.66,NO,1710173401
351,mgandu,-5.95,34.1333,19.24,91,23,2.03,TZ,1710173522
352,brak,27.5496,14.2714,31.18,6,0,5.24,LY,1710173522
353,calama,-22.4667,-68.9333,26.81,14,89,5.22,CL,1710173522
354,oleksandrivka,48.9634,32.2349,3.19,43,42,3.76,UA,1710173523
355,gilgit,35.9221,74.3087,3.72,77,100,0.99,PK,1710173523
356,tshabong,-26.05,22.45,37.46,9,1,3.31,BW,1710173400
357,sabang,5.8933,95.3214,28.69,71,19,6.08,ID,1710173523
358,montepuez,-13.1256,38.9997,23.77,90,99,1.07,MZ,1710173523
359,mbandaka,0.0487,18.2603,25.6,82,100,5.38,CD,1710173523
360,yeppoon,-23.1333,150.7333,22.88,80,76,8.33,AU,1710173523
361,west bay,19.3667,-81.4167,30.04,70,20,3.6,KY,1710173524
362,kuhsan,34.6539,61.1978,17.09,48,61,3.65,AF,1710173524
363,constitucion,-35.3333,-72.4167,17.71,62,2,2.7,CL,1710173524
